atom_type	ljradii	stdev	%dev	lj_welldepth	stdev	%dev	Gfree	stdev	%dev
CAbb	2.0112	0.029	1.4	0.0626	0.014	22.4	2.5338	0.3255	12.8
CH0	2.0112	0.029	1.4	0.0626	0.014	22.4	1.4093	1.6736	118.8
CH1	2.0112	0.029	1.4	0.0626	0.014	22.4	-3.5384	0.9986	-28.2
CH2	2.0112	0.029	1.4	0.0626	0.014	22.4	-1.8547	0.8865	-47.8
CH3	2.0112	0.029	1.4	0.0626	0.014	22.4	7.2929	1.4165	19.4
CNH2	1.9922	0.0297	1.5	0.0946	0.0131	13.8	3.077	0.5523	17.9
COO	1.9649	0.0119	0.6	0.1418	0.0265	18.7	-3.3326	2.8643	-85.9
CObb	1.9649	0.0119	0.6	0.1418	0.0265	18.7	3.1042	1.4841	47.8
aroC	1.9859	0.0465	2.3	0.0688	0.0077	11.2	1.7979	0.979	54.5
NH2O	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-8.1016	0.4985	-6.2
Narg	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-8.9684	0.6657	-7.4
Nbb	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-9.9695	1.5698	-15.7
Nhis	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-9.7396	2.3981	-24.6
Nlys	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-20.865	1.0494	-5
Npro	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-0.9846	0.3481	-35.4
NtrR	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-5.1581	2.7707	-53.7
Ntrp	1.7632	0.0129	0.7	0.1617	0.0132	8.2	-8.4131	2.0056	-23.8
OCbb	1.5268	0.063	4.1	0.1424	0.0374	26.3	-8.0068	1.7565	-21.9
OH	1.5354	0.0608	4	0.1619	0.0201	12.4	-8.1335	1.2733	-15.7
ONH2	1.576	0.0399	2.5	0.1829	0.0184	10.1	-6.5916	1.1158	-16.9
OOC	1.4492	0.0356	2.5	0.0999	0.0263	26.3	-9.2398	0.72	-7.8
S	2.0171	0.0206	1	0.456	0.0276	6.1	-1.7072	0.8783	-51.4
SH1	2.0171	0.0206	1	0.456	0.0276	6.1	3.2916	1.2062	36.6
HNbb	0.8773	0.0194	2.2	0.005	0.0007	14	NODATA	NODATA	NODATA
HS	0.3593	0.0754	21	0.0508	0.0106	20.9	NODATA	NODATA	NODATA
Hapo	1.4634	0.0427	2.9	0.0218	0.0076	34.9	NODATA	NODATA	NODATA
Haro	1.3778	0.0589	4.3	0.0159	0.0133	83.6	NODATA	NODATA	NODATA
Hpol	0.8773	0.0194	2.2	0.005	0.0007	14	NODATA	NODATA	NODATA
#N_consensus は N について全部同じ値だったので当てた
N_consensus	1.7632	0.0129	0.7	0.1617	0.0132	8.2	NODATA	NODATA	NODATA
#charmm19 par より
H_param19	0.8000	NODATA	NODATA	-0.0498	NODATA	NODATA	NODATA	NODATA	NODATA
#charmm19 par より
C%_param19	2.490	NODATA	NODATA	-0.0262	NODATA	NODATA	NODATA	NODATA	NODATA
#charmm19 par より
O*_param19	1.6000	NODATA	NODATA	-0.1591	NODATA	NODATA	NODATA	NODATA	NODATA
#charmm19 par より
S*_param19	1.890	NODATA	NODATA	-0.0430	NODATA	NODATA	NODATA	NODATA	NODATA
