AtomType	Value	Stdev	%dev
ALAC	0.6885	0.0478	6.9
ALACA	0.0901	0.0061	6.8
ALACB	-0.2892	0.0407	14.1
ALAH	0.3988	0.0272	6.8
ALAHA	0.1158	0.0079	6.8
ALAHB1	0.0964	0.0136	14.1
ALAHB2	0.0964	0.0136	14.1
ALAHB3	0.0964	0.0136	14.1
ALAN	-0.6046	0.0413	6.8
ALAO	-0.6885	0.0478	6.9
ARGC	0.6885	0.0478	6.9
ARGCA	0.0901	0.0061	6.8
ARGCB	-0.0675	0.0151	22.4
ARGCD	0.131	0.0093	7.1
ARGCG	-0.0675	0.0151	22.4
ARGCZ	0.3608	0.0375	10.4
ARGH	0.3988	0.0272	6.8
ARGHA	0.1158	0.0079	6.8
ARGHB1	0.0735	0.0022	3
ARGHB2	0.0735	0.0022	3
ARGHD1	0.0735	0.0022	3
ARGHD2	0.0735	0.0022	3
ARGHE	0.2563	0.0247	9.6
ARGHG1	0.0735	0.0022	3
ARGHG2	0.0735	0.0022	3
ARGHH11	0.2668	0.026	9.7
ARGHH12	0.2668	0.026	9.7
ARGHH21	0.2668	0.026	9.7
ARGHH22	0.2668	0.026	9.7
ARGN	-0.6046	0.0413	6.8
ARGNE	-0.339	0.0485	14.3
ARGNH1	-0.3912	0.0549	14
ARGNH2	-0.3912	0.0549	14
ARGO	-0.6885	0.0478	6.9
ASNC	0.6885	0.0478	6.9
ASNCA	0.0901	0.0061	6.8
ASNCB	-0.1256	0.0152	12.1
ASNCG	0.3838	0.0463	12.1
ASNH	0.3988	0.0272	6.8
ASNHA	0.1158	0.0079	6.8
ASNHB1	0.0628	0.0076	12.1
ASNHB2	0.0628	0.0076	12.1
ASNHD21	0.2233	0.027	12.1
ASNHD22	0.2093	0.0253	12.1
ASNN	-0.6046	0.0413	6.8
ASNND2	-0.4326	0.0522	12.1
ASNO	-0.6885	0.0478	6.9
ASNOD1	-0.3838	0.0463	12.1
ASPC	0.6885	0.0478	6.9
ASPCA	0.0901	0.0061	6.8
ASPCB	-0.2895	0.0027	0.9
ASPCG	0.6857	0.0187	2.7
ASPH	0.3988	0.0272	6.8
ASPHA	0.1158	0.0079	6.8
ASPHB1	0.1114	0.0061	5.5
ASPHB2	0.1114	0.0061	5.5
ASPN	-0.6046	0.0413	6.8
ASPO	-0.6885	0.0478	6.9
ASPOD1	-0.8096	0.0141	1.7
ASPOD2	-0.8096	0.0141	1.7
CYSC	0.6885	0.0478	6.9
CYSCA	0.0901	0.0061	6.8
CYSCB	-0.1178	0.0166	14.1
CYSH	0.3988	0.0272	6.8
CYSHA	0.1158	0.0079	6.8
CYSHB1	0.0964	0.0136	14.1
CYSHB2	0.0964	0.0136	14.1
CYSHG	0.1714	0.0241	14.1
CYSN	-0.6046	0.0413	6.8
CYSO	-0.6885	0.0478	6.9
CYSSG	-0.2464	0.0347	14.1
GLNC	0.6885	0.0478	6.9
GLNCA	0.0901	0.0061	6.8
GLNCB	-0.1778	0.0128	7.2
GLNCD	0.5433	0.039	7.2
GLNCG	-0.1778	0.0128	7.2
GLNH	0.3988	0.0272	6.8
GLNHA	0.1158	0.0079	6.8
GLNHB1	0.0889	0.0064	7.2
GLNHB2	0.0889	0.0064	7.2
GLNHE21	0.3161	0.0227	7.2
GLNHE22	0.2963	0.0213	7.2
GLNHG1	0.0889	0.0064	7.2
GLNHG2	0.0889	0.0064	7.2
GLNN	-0.6046	0.0413	6.8
GLNNE2	-0.6124	0.044	7.2
GLNO	-0.6885	0.0478	6.9
GLNOE1	-0.5433	0.039	7.2
GLUC	0.6885	0.0478	6.9
GLUCA	0.0901	0.0061	6.8
GLUCB	-0.1625	0.0012	0.7
GLUCD	0.4338	0.0123	2.8
GLUCG	-0.237	0.0028	1.2
GLUH	0.3988	0.0272	6.8
GLUHA	0.1158	0.0079	6.8
GLUHB1	0.0388	0.0034	8.8
GLUHB2	0.0388	0.0034	8.8
GLUHG1	0.0388	0.0034	8.8
GLUHG2	0.0388	0.0034	8.8
GLUN	-0.6046	0.0413	6.8
GLUO	-0.6885	0.0478	6.9
GLUOE1	-0.5948	0.0109	1.8
GLUOE2	-0.5948	0.0109	1.8
GLYC	0.6885	0.0478	6.9
GLYCA	-0.0257	0.0018	7
GLYH	0.3988	0.0272	6.8
GLYHA1	0.1158	0.0079	6.8
GLYHA2	0.1158	0.0079	6.8
GLYN	-0.6046	0.0413	6.8
GLYO	-0.6885	0.0478	6.9
HISC	0.6885	0.0478	6.9
HISCA	0.0901	0.0061	6.8
HISCB	-0.0629	0.0065	10.3
HISCD2	-0.0393	0.0041	10.4
HISCE1	0.1965	0.0204	10.4
HISCG	0.1729	0.0179	10.4
HISH	0.3988	0.0272	6.8
HISHA	0.1158	0.0079	6.8
HISHB1	0.0707	0.0073	10.3
HISHB2	0.0707	0.0073	10.3
HISHD2	0.0707	0.0073	10.3
HISHE1	0.1022	0.0106	10.4
HISHE2	0.2515	0.0261	10.4
HISN	-0.6046	0.0413	6.8
HISND1	-0.5502	0.0571	10.4
HISNE2	-0.283	0.0293	10.4
HISO	-0.6885	0.0478	6.9
ILEC	0.6885	0.0478	6.9
ILECA	0.0901	0.0061	6.8
ILECB	-0.0964	0.0136	14.1
ILECD1	-0.2892	0.0407	14.1
ILECG1	-0.1928	0.0271	14.1
ILECG2	-0.2892	0.0407	14.1
ILEH	0.3988	0.0272	6.8
ILEHA	0.1158	0.0079	6.8
ILEHB	0.0964	0.0136	14.1
ILEHD11	0.0964	0.0136	14.1
ILEHD12	0.0964	0.0136	14.1
ILEHD13	0.0964	0.0136	14.1
ILEHG11	0.0964	0.0136	14.1
ILEHG12	0.0964	0.0136	14.1
ILEHG21	0.0964	0.0136	14.1
ILEHG22	0.0964	0.0136	14.1
ILEHG23	0.0964	0.0136	14.1
ILEN	-0.6046	0.0413	6.8
ILEO	-0.6885	0.0478	6.9
LEUC	0.6885	0.0478	6.9
LEUCA	0.0901	0.0061	6.8
LEUCB	-0.1928	0.0271	14.1
LEUCD1	-0.2892	0.0407	14.1
LEUCD2	-0.2892	0.0407	14.1
LEUCG	-0.0964	0.0136	14.1
LEUH	0.3988	0.0272	6.8
LEUHA	0.1158	0.0079	6.8
LEUHB1	0.0964	0.0136	14.1
