#Atom types	Volume	DGiref	DGifree	DH	DC
C	14.7	0.000	0.00	0.000	0.00
CR	8.3	20.890	21.40	2.220	6.90
CH1E	23.7	20.187	20.25	0.876	0.00
CH2E	22.4	0.372	0.52	20.610	18.60
CH3E	30.0	1.089	1.50	21.779	35.60
CR1E	18.4	0.057	0.08	20.973	6.90
NH1	4.4	25.950	28.90	29.059	28.80
NR	4.4	23.820	24.00	24.654	28.80
NH2	11.2	25.450	27.80	29.028	27.00
NH3	11.2	220.000	220.00	225.000	218.00
NC2	11.2	210.000	210.00	212.000	27.00
N	0.0	21.000	21.55	21.250	8.80
OH1	10.8	25.920	26.70	29.264	211.20
O	10.8	25.330	25.85	25.787	28.80
OC	10.8	210.000	210.00	212.000	29.40
S	14.7	23.240	24.10	24.475	239.90
SH1E	21.4	22.050	22.70	24.475	239.90
